trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.8775825618903728}",30,0,-33.29532081795617,"{0: 24, 1: 2, 2: 3, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.5403023058681397}",25,0,-173.08363856646173,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.0707372016677029}",30,0,-78.920043418538,"{0: 23, 1: 2, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.4161468365471424}",30,0,-135.19692628012808,"{0: 21, 1: 0, 2: 6, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.8011436155469337}",20,0,-86.12383713017604,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9899924966004454}",30,0,-152.4780594061866,"{0: 17, 1: 4, 2: 7, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9364566872907963}",25,0,-144.40453129076937,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.6536436208636119}",20,0,-68.05693215538207,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.2107957994307797}",20,4,23.52815577084292,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.28366218546322625}",25,15,15.353017268475726,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.70866977429126}",20,0,-104.13051351106824,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.960170286650366}",20,0,-69.81000547380549,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9765876257280235}",25,3,-70.93049395830158,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.7539022543433046}",30,0,-147.7525384331618,"{0: 24, 1: 0, 2: 1, 3: 2, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.3466353178350258}",20,0,3.4900698600549473,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.14550003380861354}",20,8,8.89166192789829,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.6020119026848236}",25,10,-39.938119837525434,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.9111302618846769}",20,5,-70.5433209558554,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.9971721561963784}",20,0,-111.23817393997874,"{0: 10, 1: 0, 2: 9, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8390715290764524}",35,7,-190.9587104755906,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 3}",1
