trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-145.59538464916807,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",35,0,-155.0358841696129,"{0: 24, 1: 3, 2: 5, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-192.61920819705983,"{0: 10, 1: 2, 2: 2, 3: 3, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-153.08649651177478,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.54195543660892,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.65671960794445,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-194.00763356212224,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 4}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.16403813732807,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-250.36412074799912,"{0: 16, 1: 3, 2: 5, 3: 2, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.63531821860244,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.21251449076138,"{0: 11, 1: 0, 2: 9, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-176.9032888118506,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.8146800979372,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-119.66345937335052,"{0: 24, 1: 0, 2: 3, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.5267158678712,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,6,-125.43445474072031,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 2}",1
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-167.0902429384279,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-171.7619717558248,"{0: 9, 1: 6, 2: 7, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-277.22337057398903,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 6}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-61.169724467496906,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,3,-113.09016424417041,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 2}",1
2,True,"{'a': 0, 'e': 0}",25,0,-61.624304396565606,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,12,-61.350203137086524,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",25,0,-113.72792866827545,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,0,-118.4054637844955,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,0,-17.88675540790099,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",35,0,-179.08482152861248,"{0: 21, 1: 3, 2: 8, 3: 1, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",35,0,-191.0415679522502,"{0: 18, 1: 4, 2: 11, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",30,0,-124.18721806195417,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-189.3072485880682,"{0: 8, 1: 2, 2: 7, 3: 0, 4: 3}",0
